Time (s),Illuminance (lux),Timestamp,Condition
37.707,175.87,2026-01-12 00:36:46.873,Transition
37.809,197.97,2026-01-12 00:36:46.975,Transition
37.908,182.17,2026-01-12 00:36:47.074,Transition
38.013,203.17,2026-01-12 00:36:47.179,Transition
38.111,204.17,2026-01-12 00:36:47.277,Transition
38.212,185.56,2026-01-12 00:36:47.378,Transition
38.313,199.57,2026-01-12 00:36:47.479,Transition
38.412,175.05,2026-01-12 00:36:47.578,Transition
38.512,159.14,2026-01-12 00:36:47.678,Transition
38.607,127.13,2026-01-12 00:36:47.773,Transition
38.713,140.94,2026-01-12 00:36:47.879,Transition
38.808,172.69,2026-01-12 00:36:47.974,Transition
38.907,163.63,2026-01-12 00:36:48.073,Transition
39.007,164.95,2026-01-12 00:36:48.173,Transition
39.107,114.31,2026-01-12 00:36:48.273,Transition
39.208,163.01,2026-01-12 00:36:48.374,Transition
39.307,133.64,2026-01-12 00:36:48.473,Transition
39.408,194.53,2026-01-12 00:36:48.574,Transition
39.508,161.37,2026-01-12 00:36:48.674,Transition
39.613,174.15,2026-01-12 00:36:48.779,Transition
39.711,202.17,2026-01-12 00:36:48.877,Transition
39.812,193.83,2026-01-12 00:36:48.978,Transition
39.911,226.28,2026-01-12 00:36:49.077,Transition
40.011,175.87,2026-01-12 00:36:49.177,Transition
40.111,164.41,2026-01-12 00:36:49.277,Transition
40.212,189.49,2026-01-12 00:36:49.378,Transition
40.311,177.44,2026-01-12 00:36:49.477,Transition
40.411,168.12,2026-01-12 00:36:49.577,Transition
40.51,172.69,2026-01-12 00:36:49.676,Transition
40.612,170.44,2026-01-12 00:36:49.778,Transition
40.711,170.44,2026-01-12 00:36:49.877,Transition
40.811,165.82,2026-01-12 00:36:49.977,Transition
40.911,172.69,2026-01-12 00:36:50.077,Transition
41.011,168.12,2026-01-12 00:36:50.177,Transition
41.11,165.82,2026-01-12 00:36:50.276,Transition
41.21,182.17,2026-01-12 00:36:50.376,Transition
41.301,192.0,2026-01-12 00:36:50.467,Transition
41.411,179.75,2026-01-12 00:36:50.577,Transition
41.51,170.44,2026-01-12 00:36:50.676,Transition
41.61,175.05,2026-01-12 00:36:50.776,Transition
41.71,175.05,2026-01-12 00:36:50.876,Transition
41.81,168.12,2026-01-12 00:36:50.976,Transition
41.91,168.12,2026-01-12 00:36:51.076,Transition
42.01,163.63,2026-01-12 00:36:51.176,Transition
42.11,168.12,2026-01-12 00:36:51.276,Transition
42.21,196.99,2026-01-12 00:36:51.376,Transition
42.31,164.41,2026-01-12 00:36:51.476,Transition
42.41,171.24,2026-01-12 00:36:51.576,Transition
42.51,179.75,2026-01-12 00:36:51.676,Transition
42.61,187.94,2026-01-12 00:36:51.776,Transition
42.71,175.96,2026-01-12 00:36:51.876,Transition
42.81,155.64,2026-01-12 00:36:51.976,Transition
42.91,179.75,2026-01-12 00:36:52.076,Transition
43.01,196.99,2026-01-12 00:36:52.176,Transition
43.109,147.84,2026-01-12 00:36:52.275,Transition
